"time","x","y","z","abs"
2.753539947E0,3.533841610E0,-5.363011956E-1,5.937620401E-1,3.623287024E0
2.773527343E0,1.398213744E0,6.607996821E-1,2.901772499E0,3.288151689E0
2.793567551E0,-4.692635238E-1,3.830722570E-1,4.118026793E-1,7.324848501E-1
2.813533332E0,7.182605267E-1,-6.703764796E-1,4.788403213E-2,9.836644190E-1
2.833531197E0,2.011129379E0,-4.118026793E-1,3.438073635E0,4.004319311E0
2.853510780E0,3.217807055E0,-8.236053586E-1,-3.093308687E0,4.538850808E0
2.873530572E0,2.844311714E0,-4.788403511E-1,7.278373241E-1,2.974751146E0
2.893535885E0,3.428496838E0,-5.937620401E-1,1.991975784E0,4.009377938E0
2.913529947E0,4.596867263E-1,-9.576806426E-2,3.351882398E-1,5.769181611E-1
2.933531041E0,6.607996821E-1,-1.369483352E0,1.426944256E0,2.085260363E0
2.953520103E0,-6.033388376E-1,-1.762132406E0,9.097966552E-1,2.072886472E0
2.973530416E0,-1.599326730E0,-1.704671621E0,1.915361360E-2,2.337545333E0
2.993535832E0,-2.777273953E-1,2.585737705E-1,-3.830722719E-2,3.813926383E-1
3.013525832E0,-1.762132406E0,1.752555609E0,-1.034295082E0,2.691900462E0
3.033524114E0,-2.011129379E0,1.139639974E0,-8.619125932E-2,2.313190347E0
3.053521874E0,-2.652775526E0,6.607996821E-1,2.777273953E-1,2.747909518E0
3.073523645E0,-2.719813108E0,6.703764796E-1,3.830722719E-2,2.801473793E0
3.093521770E0,-1.810016513E0,1.216254473E0,1.244984865E-1,2.184246917E0
3.113537916E0,-1.675941229E0,3.734954596E-1,-8.236053586E-1,1.904364368E0
3.133534009E0,-7.757213712E-1,3.830722570E-1,2.011129409E-1,8.882198010E-1
3.153654374E0,-1.848323703E0,8.810662031E-1,1.436520964E-1,2.052611529E0
3.173528593E0,-1.819593310E-1,8.906430602E-1,6.129156351E-1,1.096366652E0
3.193535364E0,3.533841610E0,7.948749661E-1,1.139639974E0,3.797188698E0
3.213530832E0,4.089296341E0,3.600879431E0,3.160346150E-1,5.457889255E0
3.233531978E0,-4.596867263E-1,-1.991975784E0,2.049436569E0,2.894731363E0
3.253515259E0,7.086837292E-1,-3.801992416E0,1.656787634E0,4.207413009E0
3.273531770E0,4.309563160E0,-1.857900500E0,2.298433632E-1,4.698612228E0
3.293524270E0,3.083731890E0,-2.240972757E0,-7.469909191E-1,3.884502117E0
3.313520676E0,7.948749661E-1,-3.007117271E0,5.746083856E-1,3.163029449E0
3.333520728E0,4.405331016E-1,-1.742978811E0,2.011129409E-1,1.809002754E0
3.353553957E0,-3.830722719E-2,9.097966552E-1,-4.788403213E-2,9.118608874E-1
3.373543957E0,-2.681505978E-1,2.422932148E0,3.160346150E-1,2.458125874E0
3.393527082E0,-5.200206280E0,1.637633920E0,3.256114423E-1,5.461685914E0
3.413538124E0,-4.232948780E0,1.867477298E0,8.810662031E-1,4.709735076E0
3.433523228E0,-3.227383852E0,1.580173135E0,-7.278373241E-1,3.666428894E0
3.453533749E0,-2.030282974E0,1.120486379E0,-2.145204782E0,3.159025520E0
3.473556770E0,-2.365471363E0,7.852981687E-1,-1.197100878E0,2.764995207E0
3.493806145E0,7.948749661E-1,5.841852427E-1,9.289502501E-1,1.355008183E0
