time,id,rssi
1708891169948 , 08:10:86:98:96:92 , -76
1708891169948 , 50:c4:dd:c6:8f:30 , -65
1708891169948 , 80:22:a7:1c:80:ba , -87
1708891169948 , 50:c4:dd:ce:28:e2 , -85
1708891169948 , 08:10:86:98:70:f7 , -81
1708891174984 , 58:27:8c:a0:76:c1 , -80
1708891174985 , 6a:db:f5:00:eb:9f , -88
1708891174985 , 74:03:bd:e1:55:30 , -86
1708891174985 , 08:10:86:98:96:93 , -82
1708891174985 , 58:27:8c:90:49:50 , -85
1708891174985 , 08:10:86:98:27:42 , -88
1708891174985 , d8:21:da:63:e6:a4 , -89
1708891174985 , 58:27:8c:90:49:51 , -86
1708891174985 , 50:c4:dd:c6:8f:37 , -68
1708891174985 , 74:03:bd:e1:55:37 , -91
1708891174985 , bc:5c:4c:ae:b5:92 , -91
1708891174985 , 08:10:86:98:a1:53 , -85
1708891174985 , 10:66:82:7f:ca:16 , -79
1708891174985 , 90:96:f3:40:13:59 , -93
1708891174985 , 08:10:86:98:a1:52 , -83
1708891174985 , 02:16:78:25:d0:d0 , -90
1708891174985 , 90:96:f3:40:13:5f , -93
1708891174985 , 30:f7:72:b7:4c:28 , -74
1708891174985 , 38:e0:8e:cd:cd:3b , -86
1708891174985 , 92:96:f3:40:13:53 , -81
1708891174985 , 90:96:f3:40:13:5a , -93
1708891174985 , 30:f7:72:b7:4c:29 , -84
1708891174985 , 08:10:86:98:70:f6 , -76
1708891174986 , 92:96:f3:40:13:52 , -81
1708891174986 , 08:10:86:98:96:92 , -76
1708891174986 , 50:c4:dd:c6:8f:30 , -67
1708891174986 , 80:22:a7:1c:80:ba , -87
1708891174986 , 50:c4:dd:ce:28:e2 , -85
1708891174986 , 08:10:86:98:70:f7 , -81
1708891180062 , 58:27:8c:a0:76:c1 , -80
1708891180063 , 6a:db:f5:00:eb:9f , -88
1708891180063 , 74:03:bd:e1:55:30 , -86
1708891180063 , 08:10:86:98:96:93 , -84
1708891180063 , 58:27:8c:90:49:50 , -85
1708891180063 , 08:10:86:98:27:42 , -88
1708891180063 , d8:21:da:63:e6:a4 , -89
1708891180063 , 58:27:8c:90:49:51 , -86
1708891180063 , 50:c4:dd:c6:8f:37 , -67
1708891180063 , 74:03:bd:e1:55:37 , -91
1708891180063 , bc:5c:4c:ae:b5:92 , -91
1708891180063 , 08:10:86:98:a1:53 , -87
1708891180063 , c0:06:c3:3c:1b:3b , -91
1708891180063 , 10:66:82:7f:ca:16 , -79
1708891180063 , 90:96:f3:40:13:59 , -92
1708891180063 , 08:10:86:98:a1:52 , -83
1708891180063 , 02:16:78:25:d0:d0 , -86
1708891180063 , 90:96:f3:40:13:5f , -92
1708891180063 , 30:f7:72:b7:4c:28 , -74
1708891180063 , 38:e0:8e:cd:cd:3b , -83
1708891180063 , 92:96:f3:40:13:53 , -83
1708891180063 , 90:96:f3:40:13:5a , -92
1708891180063 , 30:f7:72:b7:4c:29 , -82
1708891180063 , 08:10:86:98:70:f6 , -73
1708891180064 , 92:96:f3:40:13:52 , -83
1708891180064 , 08:10:86:98:96:92 , -76
1708891180064 , 50:c4:dd:c6:8f:30 , -65
1708891180064 , 80:22:a7:1c:80:ba , -87
1708891180064 , 50:c4:dd:ce:28:e2 , -85
1708891180064 , 08:10:86:98:70:f7 , -80
1708890596762 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890597866 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890598972 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890600079 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -71
1708890601188 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -71
1708890602294 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -71
1708890603413 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -71
1708890604530 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890605647 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890606751 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890607861 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890608966 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890610078 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890611197 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890612311 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890616750 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -76
1708890617859 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -80
1708890618976 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -80
1708890620092 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -82
1708890621221 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -64
1708890622329 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -65
1708890623444 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -65
1708890624561 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -65
1708890625664 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890626781 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890627895 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890629010 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -81
1708890630126 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -80
1708890631245 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -80
1708890632350 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -81
1708890637908 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890639020 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890640140 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -70
1708890813916 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -69
1708890815041 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890816157 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -67
1708890817280 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -67
1708890818394 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -72
1708890819515 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -72
1708890820628 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -72
1708890821741 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890822847 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890823955 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890825075 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890826188 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -67
1708890827303 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890828418 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890829533 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890833970 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890835093 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890836196 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -73
1708890837315 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890838437 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -68
1708890839553 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -67
1708890840669 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -67
1708890841794 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
1708890842897 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -75
1708890844019 , 50765cb7-d9ea-4e21-99a4-fa879613a492 , -74
