time,x,y,z,abu
1.619818052E1,4.788403213E-2,7.661445439E-2,9.576806799E-3,9.085356560E-2
1.621734578E1,8.619125932E-2,2.873042040E-2,3.830722719E-2,9.859925910E-2
1.623733067E1,1.723825186E-1,6.703764945E-2,-4.788403213E-2,1.910566924E-1
1.625731958E1,4.788403213E-2,-1.915361360E-2,-5.746084079E-2,7.721068366E-2
1.627732124E1,1.244984865E-1,2.873042040E-2,-8.619125932E-2,1.541241168E-1
1.629733604E1,1.340752989E-1,6.703764945E-2,-1.915361360E-2,1.511194664E-1
1.631732702E1,3.830722719E-2,-3.830722719E-2,-2.873042040E-2,6.132148373E-2
1.633731926E1,-1.053448766E-1,-3.830722719E-2,-3.256114423E-1,3.443657911E-1
1.635731025E1,1.532289088E-1,1.053448766E-1,-5.746083856E-1,6.039465525E-1
1.637731552E1,7.852981687E-1,-9.193734527E-1,-4.022258818E-1,1.274255241E0
1.639733755E1,7.852981687E-1,-9.193734527E-1,-4.022258818E-1,1.274255241E0
1.641733895E1,2.106897533E-1,-2.681505978E-1,8.619125932E-2,3.517440098E-1
1.643734140E1,2.873041928E-1,3.447650373E-1,1.723825186E-1,4.807518725E-1
1.645733630E1,9.864110947E-1,-2.394201756E-1,5.937620401E-1,1.175960130E0
1.647734749E1,8.619126081E-1,2.489969730E-1,8.236053586E-1,1.217874634E0
1.649732171E1,-1.149216816E-1,2.873042040E-2,4.788403213E-2,1.277705384E-1
1.651733567E1,-2.681505978E-1,8.619125932E-2,-7.661445141E-1,8.162788082E-1
1.653732244E1,-5.458779931E-1,3.543418646E-1,-3.256114423E-1,7.277113107E-1
1.655730682E1,-6.607996821E-1,4.213795066E-1,5.746083856E-1,9.717981813E-1
1.657731234E1,4.118026793E-1,2.106897533E-1,5.171475410E-1,6.938394613E-1
1.659732890E1,1.819593310E-1,1.340752989E-1,-3.639186621E-1,4.283948839E-1
1.661752322E1,-4.692635238E-1,2.489969730E-1,-2.968810201E-1,6.085606687E-1
1.663734838E1,-1.015141487E0,2.202665508E-1,-2.873041928E-1,1.077763096E0
1.665731885E1,-8.331822157E-1,2.777273953E-1,1.723825186E-1,8.950088510E-1
1.667733098E1,-3.830722719E-2,2.011129409E-1,5.650315881E-1,6.009779981E-1
1.669733671E1,2.968810201E-1,-9.576806799E-3,1.915361285E-1,3.534347802E-1
1.671775812E1,4.022258818E-1,2.873042040E-2,-2.298433632E-1,4.641541432E-1
1.673733140E1,2.394201756E-1,4.788403213E-2,-3.160346150E-1,3.993654703E-1
1.675733176E1,-1.340752989E-1,1.436520964E-1,4.788403213E-2,2.022498235E-1
1.677732458E1,-7.661445439E-2,3.830722719E-2,1.244984865E-1,1.511194608E-1
1.679732630E1,0.000000000E0,-2.873042040E-2,9.576806799E-3,3.028452219E-2
1.681735744E1,2.873041928E-1,-2.873042040E-2,-8.619125932E-2,3.013271800E-1
1.683736791E1,2.298433632E-1,7.661445439E-2,-1.340752989E-1,2.769005814E-1
1.685732645E1,-3.830722719E-2,2.106897533E-1,0.000000000E0,2.141439138E-1
1.687733072E1,5.746084079E-2,0.000000000E0,8.619125932E-2,1.035890024E-1
1.689732270E1,2.585737705E-1,-2.106897533E-1,6.703764945E-2,3.402126003E-1
1.691734036E1,4.405331016E-1,-8.619125932E-2,2.585737705E-1,5.180335332E-1
1.693732385E1,3.351882398E-1,-4.788403213E-2,5.746084079E-2,3.434323585E-1
1.695729801E1,1.436520964E-1,-7.661445439E-2,6.703764945E-2,1.760674469E-1
