time,pressure
1666845874349,1001.95825
1666845874367,1001.94696
1666845874388,1001.9982
1666845874407,1001.9796
1666845874428,1001.9354
1666845874450,1001.98303
1666845874472,1001.9714
1666845874489,1001.94525
1666845874509,1001.9267
1666845874529,1001.9201
1666845874549,1001.93384
1666845874568,1001.9437
1666845874590,1001.9881
1666845874608,1001.9651
1666845874629,1001.95197
1666845874650,1001.9698
1666845874668,1001.95337
1666845874690,1001.9379
1666845874708,1001.9351
1666845874730,1001.9273
1666845874748,1001.9401
1666845874768,1001.9209
1666845874788,1001.9684
1666845874808,1001.9151
1666845874830,1001.9189
1666845874852,1001.924
1666845874869,1001.9039
1666845874888,1001.9278
1666845874908,1001.95294
1666845874931,1001.9245
1666845874951,1001.92993
1666845874970,1001.95337
1666845874988,1001.95135
1666845875008,1001.9031
1666845875031,1001.9298
1666845875053,1001.95557
1666845875069,1001.9359
1666845875089,1001.94354
1666845875110,1001.93665
1666845875129,1001.94183
1666845875148,1001.9664
1666845875169,1001.9814
1666845875189,1001.9796
1666845875209,1001.9754
1666845875232,1001.95215
1666845875248,1001.9773
1666845875269,1001.96106
1666845875288,1001.90137
1666845875309,1001.9375
1666845875329,1001.9323
1666845875348,1001.89935
1666845875369,1001.927
1666845875388,1001.8997
1666845875409,1001.9067
1666845875430,1001.89154
1666845875449,1001.917
1666845875469,1001.9404
1666845875488,1001.914
1666845875508,1001.9018
1666845875528,1001.89465
1666845875553,1001.89813
1666845875571,1001.9125
1666845875589,1001.9189
1666845875608,1001.9156
1666845875632,1001.89514
1666845875649,1001.9171
1666845875668,1001.9184
1666845875692,1001.90216
